,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
BTC,0.6143,0.4664,0.6812,0.511,0.5302,0.584
BTC+c,0.6156,0.4635,0.6816,0.5095,0.5288,0.5832
SEC,0.3747,0.238,0.3653,0.2671,0.2912,0.3086
SEC+c,0.3809,0.2374,0.3733,0.2684,0.2924,0.3122
company_type_detector,0.5172,0.0027,0.7841,0.0085,0.0054,0.0168
compound_detector,0.0,0.0,0.0,0.0,0.0,0.0
conll2003,0.8326,0.7994,0.8553,0.8199,0.8156,0.8372
conll2003+c,0.8311,0.7937,0.8528,0.8158,0.812,0.8338
core_web_md,0.696,0.6036,0.7286,0.6834,0.6466,0.7052
core_web_md+c,0.6953,0.6004,0.7241,0.6804,0.6444,0.7016
crunchbase_cased,0.3826,0.0559,0.5452,0.0706,0.0976,0.125
crunchbase_uncased,0.3788,0.062,0.5288,0.0758,0.1066,0.1326
date_detector,0.0,0.0,0.0,0.0,0.0,0.0
doc_history,0.7447,0.0744,0.7889,0.0682,0.1352,0.1256
doc_majority_cased,0.6604,0.4063,0.7547,0.3978,0.503,0.521
doc_majority_uncased,0.6179,0.406,0.7153,0.3999,0.49,0.513
full_name_detector,0.8779,0.1133,0.8968,0.167,0.2006,0.2816
geo_cased,0.6816,0.1535,0.6914,0.1185,0.2506,0.2024
geo_uncased,0.651,0.1889,0.6592,0.1481,0.2928,0.2418
infrequent_compound_detector,0.0,0.0,0.0,0.0,0.0,0.0
infrequent_nnp_detector,0.0,0.0,0.0,0.0,0.0,0.0
infrequent_proper2_detector,0.0,0.0,0.0,0.0,0.0,0.0
infrequent_proper_detector,0.0,0.0,0.0,0.0,0.0,0.0
legal_detector,0.1667,0.0002,0.3077,0.0005,0.0004,0.001
misc_detector,0.8514,0.2151,0.8852,0.1701,0.3434,0.2854
money_detector,0.0,0.0,0.0,0.0,0.0,0.0
multitoken_crunchbase_cased,0.8333,0.0283,0.8849,0.0455,0.0548,0.0866
multitoken_crunchbase_uncased,0.8079,0.029,0.862,0.047,0.056,0.0892
multitoken_geo_cased,0.7692,0.0142,0.7658,0.021,0.0278,0.0408
multitoken_geo_uncased,0.703,0.0205,0.7069,0.0303,0.0398,0.0582
multitoken_product_cased,0.0,0.0,0.0,0.0,0.0,0.0
multitoken_product_uncased,0.0,0.0,0.0,0.0,0.0,0.0
multitoken_wiki_cased,0.9538,0.1461,0.9508,0.2168,0.2534,0.353
multitoken_wiki_small_cased,0.9691,0.1388,0.9678,0.204,0.2428,0.337
multitoken_wiki_small_uncased,0.9361,0.1452,0.9411,0.2147,0.2514,0.3496
multitoken_wiki_uncased,0.9341,0.148,0.9368,0.221,0.2556,0.3576
nnp_detector,0.0,0.0,0.0,0.0,0.0,0.0
number_detector,0.0,0.0,0.0,0.0,0.0,0.0
product_cased,0.0,0.0,0.0,0.0,0.0,0.0
product_uncased,0.0,0.0,0.1667,0.0001,0.0,0.0002
proper2_detector,0.0,0.0,0.0,0.0,0.0,0.0
proper_detector,0.0,0.0,0.0,0.0,0.0,0.0
snips,0.0,0.0,0.0,0.0,0.0,0.0
time_detector,0.0,0.0,0.0,0.0,0.0,0.0
wiki_cased,0.7527,0.3265,0.8146,0.3449,0.4554,0.4846
wiki_small_cased,0.7685,0.3162,0.8285,0.3294,0.448,0.4714
wiki_small_uncased,0.7401,0.3515,0.799,0.3602,0.4766,0.4966
wiki_uncased,0.7226,0.3561,0.7862,0.3685,0.477,0.5018
