,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.8505,0.7434,0.9106,0.7624,0.7934,0.83
1,0.8508,0.7421,0.9131,0.7627,0.7928,0.8312
2,0.8498,0.7398,0.9141,0.7624,0.791,0.8314
3,0.8481,0.7386,0.9133,0.7618,0.7896,0.8306
4,0.8505,0.7379,0.9145,0.7613,0.7902,0.8308
5,0.8465,0.7363,0.9149,0.7617,0.7876,0.8314
6,0.8467,0.7357,0.9137,0.7603,0.7874,0.83
7,0.8458,0.7354,0.914,0.7604,0.7868,0.8302
8,0.8442,0.7353,0.914,0.7607,0.786,0.8304
9,0.8444,0.7357,0.9145,0.7613,0.7864,0.8308
10,0.8452,0.7351,0.9147,0.7602,0.7864,0.8304
11,0.8428,0.7345,0.9143,0.7602,0.785,0.8302
12,0.8428,0.7334,0.9139,0.7592,0.7844,0.8294
13,0.843,0.7327,0.9136,0.7584,0.784,0.8288
14,0.8418,0.7334,0.9137,0.7588,0.7838,0.829
15,0.8403,0.7314,0.9118,0.7569,0.782,0.8272
16,0.8405,0.7309,0.9122,0.7566,0.7818,0.8272
17,0.8403,0.7308,0.9119,0.7561,0.7818,0.8268
18,0.841,0.7311,0.9124,0.7562,0.7822,0.827
19,0.8397,0.73,0.9122,0.7558,0.781,0.8266
20,0.8392,0.7309,0.9113,0.7556,0.7814,0.8262
21,0.8395,0.7292,0.9121,0.754,0.7804,0.8256
22,0.8402,0.7284,0.9117,0.7529,0.7804,0.8248
23,0.8391,0.728,0.9108,0.7521,0.7796,0.8238
24,0.8372,0.7276,0.909,0.7521,0.7786,0.8232
