,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.836,0.6021,0.8766,0.6396,0.7,0.7396
1,0.8469,0.624,0.8853,0.6604,0.7186,0.7564
2,0.8607,0.6611,0.8938,0.6907,0.7478,0.7792
3,0.8677,0.6953,0.8985,0.7189,0.772,0.7988
4,0.8769,0.723,0.9034,0.74,0.7926,0.8136
5,0.8794,0.7339,0.9042,0.7484,0.8,0.819
6,0.8825,0.7413,0.905,0.7535,0.8058,0.8224
7,0.8843,0.7446,0.9061,0.756,0.8084,0.8242
8,0.8864,0.7478,0.9078,0.7588,0.8112,0.8266
9,0.8877,0.7499,0.9087,0.7604,0.813,0.828
10,0.8893,0.7518,0.9096,0.7618,0.8148,0.8292
11,0.8909,0.7532,0.9103,0.7627,0.8162,0.83
12,0.8916,0.7539,0.9108,0.7633,0.817,0.8306
13,0.8926,0.7547,0.9114,0.7635,0.8178,0.831
14,0.8937,0.7558,0.9123,0.7643,0.819,0.8318
15,0.8942,0.7562,0.9127,0.7646,0.8194,0.8322
16,0.8949,0.7568,0.9132,0.7651,0.82,0.8326
17,0.8959,0.7576,0.9139,0.7656,0.821,0.8332
18,0.8965,0.7581,0.9145,0.7662,0.8216,0.8338
19,0.8966,0.7582,0.9146,0.7663,0.8216,0.834
20,0.8972,0.7587,0.9152,0.7667,0.8222,0.8344
21,0.8973,0.7588,0.9153,0.7668,0.8222,0.8344
22,0.8975,0.759,0.9155,0.767,0.8224,0.8346
23,0.898,0.7594,0.9158,0.7673,0.823,0.835
24,0.8981,0.7595,0.9159,0.7674,0.823,0.835
