,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.7612,0.5977,0.8106,0.6319,0.6696,0.7102
1,0.7484,0.6236,0.7989,0.6596,0.6804,0.7226
2,0.7412,0.6385,0.793,0.6767,0.686,0.7302
3,0.7345,0.6471,0.7868,0.6859,0.688,0.7328
4,0.7283,0.6526,0.7821,0.6935,0.6884,0.7352
5,0.725,0.6569,0.7802,0.6998,0.6892,0.7378
6,0.724,0.6615,0.7784,0.7045,0.6914,0.7396
7,0.723,0.6661,0.7763,0.7093,0.6934,0.7412
8,0.7204,0.6682,0.774,0.7138,0.6934,0.7426
9,0.7205,0.6725,0.7734,0.7183,0.6956,0.7448
10,0.7193,0.6739,0.7721,0.7205,0.6958,0.7454
11,0.7171,0.6744,0.7707,0.7228,0.695,0.746
12,0.7166,0.6765,0.7703,0.7249,0.696,0.747
13,0.7143,0.6776,0.7676,0.7263,0.6954,0.7464
14,0.7138,0.6788,0.7668,0.7277,0.6958,0.7468
