,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.802,0.6018,0.9156,0.6504,0.6876,0.7606
1,0.7645,0.5865,0.9156,0.6504,0.6638,0.7606
2,0.7353,0.5743,0.9156,0.6504,0.645,0.7606
3,0.7137,0.5651,0.9156,0.6504,0.6308,0.7606
4,0.7025,0.5605,0.9156,0.6504,0.6236,0.7606
5,0.6914,0.5559,0.9156,0.6504,0.6162,0.7606
6,0.6914,0.5559,0.9156,0.6504,0.6162,0.7606
7,0.6818,0.5513,0.9156,0.6504,0.6096,0.7606
8,0.6837,0.5528,0.9156,0.6504,0.6114,0.7606
9,0.6837,0.5528,0.9156,0.6504,0.6114,0.7606
10,0.6901,0.5559,0.9156,0.6504,0.6158,0.7606
11,0.6901,0.5559,0.9156,0.6504,0.6158,0.7606
12,0.6933,0.5574,0.9156,0.6504,0.618,0.7606
13,0.6998,0.5605,0.9156,0.6504,0.6224,0.7606
14,0.7063,0.5636,0.9156,0.6504,0.627,0.7606
15,0.7071,0.562,0.9167,0.6494,0.6262,0.7602
16,0.7038,0.5605,0.9167,0.6494,0.624,0.7602
17,0.7038,0.5605,0.9167,0.6494,0.624,0.7602
18,0.7151,0.5651,0.9167,0.6494,0.6314,0.7602
19,0.7118,0.5636,0.9167,0.6494,0.629,0.7602
20,0.7184,0.5666,0.9167,0.6494,0.6336,0.7602
21,0.7071,0.562,0.9167,0.6494,0.6262,0.7602
22,0.7146,0.5636,0.9166,0.6485,0.6302,0.7596
23,0.7085,0.562,0.9166,0.6485,0.6268,0.7596
24,0.7006,0.559,0.9166,0.6485,0.6218,0.7596
