,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.8626,0.6248,0.9168,0.6504,0.7246,0.761
1,0.8662,0.6248,0.9168,0.6504,0.726,0.761
2,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
3,0.8721,0.6263,0.9156,0.6504,0.729,0.7606
4,0.8721,0.6263,0.9156,0.6504,0.729,0.7606
5,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
6,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
7,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
8,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
9,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
10,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
11,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
12,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
13,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
14,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
15,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
16,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
17,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
18,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
19,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
20,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
21,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
22,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
23,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
24,0.8742,0.6279,0.9168,0.6504,0.7308,0.761
