,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.8466,0.628,0.9615,0.6315,0.721,0.7624
1,0.8626,0.6481,0.9596,0.6404,0.7402,0.7682
2,0.868,0.6512,0.9597,0.6416,0.7442,0.769
3,0.8629,0.6502,0.9597,0.6416,0.7416,0.769
4,0.85,0.6449,0.9597,0.6416,0.7334,0.769
5,0.8274,0.6365,0.9597,0.6416,0.7196,0.769
6,0.8164,0.628,0.9595,0.6393,0.71,0.7674
7,0.8148,0.6164,0.96,0.6331,0.7018,0.763
8,0.8213,0.6101,0.9605,0.6281,0.7002,0.7596
9,0.8457,0.6122,0.9602,0.6236,0.7102,0.7562
10,0.8602,0.6027,0.9605,0.6152,0.7088,0.75
11,0.8609,0.5933,0.9602,0.6096,0.7024,0.7458
12,0.8631,0.5848,0.9607,0.6045,0.6972,0.742
13,0.8542,0.5743,0.9613,0.6006,0.6868,0.7394
14,0.8535,0.5711,0.9612,0.5989,0.6844,0.738
15,0.853,0.5627,0.9618,0.5944,0.678,0.7348
16,0.8511,0.5543,0.9633,0.5904,0.6714,0.7322
17,0.8762,0.5595,0.9641,0.5888,0.683,0.731
18,0.8807,0.5522,0.9638,0.5837,0.6788,0.727
19,0.8861,0.549,0.9655,0.5815,0.678,0.7258
20,0.8889,0.5479,0.9654,0.5803,0.678,0.7248
21,0.8866,0.5437,0.9662,0.5787,0.674,0.7238
22,0.8953,0.5406,0.966,0.5747,0.6742,0.7206
23,0.8938,0.5321,0.9685,0.5702,0.667,0.7178
24,0.8933,0.5205,0.9689,0.5607,0.6578,0.7104
