,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.9412,0.5538,0.971,0.6742,0.6974,0.7958
1,0.9414,0.5769,0.9711,0.6962,0.7154,0.811
2,0.9429,0.6141,0.9709,0.7145,0.7438,0.8232
3,0.9488,0.6885,0.9723,0.7509,0.798,0.8474
4,0.9465,0.7256,0.9706,0.7692,0.8214,0.8582
5,0.9457,0.7372,0.9701,0.7748,0.8286,0.8616
6,0.9458,0.7385,0.9701,0.7755,0.8294,0.862
7,0.9458,0.7385,0.9701,0.7755,0.8294,0.862
8,0.9458,0.7385,0.9701,0.7755,0.8294,0.862
9,0.9458,0.7385,0.9701,0.7755,0.8294,0.862
10,0.9458,0.7385,0.9701,0.7755,0.8294,0.862
11,0.9458,0.7385,0.9701,0.7755,0.8294,0.862
12,0.9458,0.7385,0.9701,0.7755,0.8294,0.862
13,0.9458,0.7385,0.9701,0.7755,0.8294,0.862
14,0.9458,0.7385,0.9701,0.7755,0.8294,0.862
15,0.9337,0.6828,0.9599,0.6449,0.7888,0.7714
