,entity_precision,entity_recall,token_precision,token_recall,entity_f1,token_f1
0,0.7826,0.6717,0.8701,0.7,0.723,0.7758
1,0.7848,0.6853,0.8716,0.713,0.7316,0.7844
2,0.8012,0.7078,0.8854,0.7334,0.7516,0.8022
3,0.8196,0.7251,0.8978,0.7485,0.7694,0.8164
4,0.8289,0.7317,0.9036,0.755,0.7772,0.8226
5,0.8414,0.7377,0.9078,0.7585,0.7862,0.8264
6,0.8476,0.7402,0.9106,0.7606,0.7902,0.8288
7,0.8521,0.7421,0.9119,0.7617,0.7934,0.83
8,0.8557,0.7432,0.9125,0.7619,0.7954,0.8304
9,0.8585,0.7434,0.9131,0.7617,0.7968,0.8306
10,0.8607,0.7439,0.9134,0.7615,0.798,0.8306
11,0.8633,0.7441,0.914,0.7613,0.7992,0.8306
12,0.8651,0.7442,0.9143,0.761,0.8002,0.8306
13,0.866,0.7441,0.9144,0.7608,0.8004,0.8306
14,0.8664,0.744,0.9148,0.761,0.8006,0.8308
15,0.8673,0.7439,0.9151,0.7605,0.8008,0.8306
16,0.8676,0.7435,0.9153,0.7605,0.8008,0.8308
17,0.8673,0.743,0.915,0.76,0.8004,0.8304
18,0.867,0.7421,0.9147,0.7592,0.7998,0.8298
19,0.8661,0.7409,0.9144,0.7586,0.7986,0.8292
20,0.866,0.7405,0.9144,0.7584,0.7984,0.8292
21,0.8661,0.7402,0.9142,0.758,0.7982,0.8288
22,0.8657,0.74,0.9147,0.7583,0.798,0.8292
23,0.8661,0.7393,0.9149,0.7578,0.7976,0.829
24,0.8661,0.7393,0.9149,0.7578,0.7976,0.829
